city,lat,lon,temp,humidity,cloudiness,wind speed
tateyama,34.98,139.87,90.5,75,20,9.17
vila do maio,15.13,-23.22,78.8,88,40,5.82
upernavik,72.79,-56.15,39.34,73,0,13.65
concordia,-31.39,-58.02,64.0,91,94,4.0
tessalit,20.2,1.01,85.14,51,58,15.35
stryn,61.9,6.72,50.68,91,46,1.86
carangola,-20.73,-42.03,63.81,89,33,3.11
terrace bay,48.78,-87.1,56.52,93,100,8.37
mayo,38.89,-76.51,74.66,100,40,7.96
bolton,53.58,-2.43,48.42,86,89,5.01
sur,22.57,59.53,86.45,57,98,4.0
semirom,31.42,51.57,56.46,36,0,3.06
carrollton,32.95,-96.89,91.78,44,5,10.29
kutum,14.2,24.67,72.39,76,100,7.05
araouane,18.9,-3.53,86.72,43,100,21.63
calama,-22.47,-68.93,51.8,29,0,3.36
kyrylivka,46.38,35.37,69.53,53,0,5.14
mokobeng,-23.0,27.67,63.09,40,62,4.54
sola,-13.88,167.55,78.82,86,100,14.43
thinadhoo,0.53,72.93,83.17,67,100,12.37
bria,6.54,21.99,68.23,96,100,3.13
tocopilla,-22.09,-70.2,60.12,61,7,5.93
uribia,11.71,-72.27,84.24,65,0,11.83
saint george,37.1,-113.58,93.45,12,1,9.17
san cristobal,7.77,-72.22,66.09,84,38,1.5
baillif,16.02,-61.75,82.4,78,40,3.36
mattru,7.62,-11.83,72.09,98,100,1.86
riyadh,24.69,46.72,80.6,32,59,2.24
pisco,-13.7,-76.22,60.89,87,75,4.7
mahuva,21.09,71.76,80.2,86,100,10.76
taltal,-25.4,-70.48,55.36,68,23,2.75
constitucion,-35.33,-72.42,50.81,89,85,13.65
le vauclin,14.55,-60.84,81.41,74,75,13.87
aginskoye,51.1,114.53,53.22,85,100,6.89
vao,-22.67,167.48,68.61,73,80,19.37
ejura,7.39,-1.36,69.4,94,67,6.76
trinidad,-14.83,-64.9,80.65,40,7,2.28
fort nelson,58.81,-122.7,57.2,71,75,5.82
kudahuvadhoo,2.67,72.89,81.7,75,99,6.31
aripuana,-9.17,-60.63,77.25,79,100,3.62
sidi ali,36.1,0.42,72.07,51,0,11.65
ler,8.3,30.14,71.64,91,75,0.63
nacala,-14.54,40.67,70.29,89,12,4.03
mehamn,71.04,27.85,43.65,72,82,7.05
mackenzie,55.3,-123.17,55.4,62,90,6.93
verkhnyaya inta,65.98,60.31,46.09,84,20,5.21
oda,35.18,132.5,91.4,55,20,5.82
novoorsk,51.38,58.98,69.8,40,96,8.95
okha,53.57,142.95,61.72,62,28,16.13
lasa,46.62,10.7,55.58,100,90,2.24
zolotepec,19.42,-99.49,55.4,82,75,5.82
krymsk,44.93,37.99,61.2,100,40,6.71
muisne,0.6,-80.03,74.23,85,99,6.58
bremerton,47.57,-122.63,66.99,74,0,1.99
vila velha,-20.33,-40.29,68.0,100,40,2.24
fort walton beach,30.41,-86.62,82.2,88,40,3.36
coquimbo,-29.95,-71.34,50.0,81,0,2.24
suileng,47.25,127.08,58.08,94,100,17.27
aquin,18.28,-73.4,81.19,81,3,2.15
tuatapere,-46.13,167.68,52.12,74,87,12.15
chandler,33.31,-111.84,101.77,14,40,6.93
mar del plata,-38.0,-57.56,53.37,93,90,7.11
vytegra,61.01,36.45,52.77,95,100,5.01
tau,59.07,5.9,57.63,72,71,6.93
leshukonskoye,64.9,45.76,47.08,81,100,6.78
newtyle,56.56,-3.14,47.01,76,20,4.7
korla,41.76,86.15,73.99,92,47,1.99
oskarshamn,57.26,16.45,57.0,94,99,1.99
moramanga,-18.93,48.2,52.11,95,30,1.36
serov,59.6,60.58,56.77,81,24,3.8
van buren,35.44,-94.35,82.17,74,1,2.91
cam ranh,11.92,109.16,93.2,63,20,4.7
bull savanna,17.89,-77.59,78.64,84,1,6.11
juneau,58.3,-134.42,53.31,87,90,11.41
charagua,-19.8,-63.22,75.94,33,0,8.97
houston,29.76,-95.36,84.7,79,75,5.82
nhulunbuy,-12.23,136.77,82.4,58,75,19.46
erzin,36.96,36.2,78.01,89,0,1.57
sobolevo,54.43,31.9,47.71,94,89,5.1
brae,60.4,-1.35,48.2,93,50,11.41
husavik,66.04,-17.34,48.2,87,90,4.7
nikolayevsk-na-amure,53.14,140.73,65.98,41,0,9.06
cranbrook,49.5,-115.77,78.8,22,40,11.41
pevek,69.7,170.31,39.6,91,100,1.66
provideniya,64.38,-173.3,51.8,71,90,8.95
port hardy,50.7,-127.42,60.8,63,75,9.17
kirando,-7.42,30.6,73.6,54,18,4.47
bowen,-20.02,148.23,75.2,47,40,26.4
planaltina,-15.45,-47.61,64.4,55,26,1.12
olinda,-8.01,-34.86,78.8,78,40,8.05
hun,29.13,15.95,71.71,72,0,8.46
ukiah,39.15,-123.21,82.17,33,90,3.36
sarangani,5.4,125.46,84.24,72,38,10.6
limon,10.0,-83.03,81.39,73,100,2.37
tamiahua,21.27,-97.45,81.27,87,15,8.16
zhifang,30.35,114.32,86.0,58,0,6.71
osakarovka,50.56,72.57,63.48,52,0,2.77
buchanan,5.88,-10.05,75.2,94,75,10.58
amor,39.8,-8.86,60.89,82,0,9.17
forbes,-33.38,148.02,63.14,50,0,4.12
paracuru,-3.41,-39.03,79.0,77,8,21.0
san quintin,30.48,-115.95,71.78,73,1,11.43
saint anthony,45.02,-93.22,71.47,64,20,19.46
san policarpo,12.18,125.51,81.61,81,100,11.27
nortelandia,-14.45,-56.8,77.45,21,0,3.83
zhigansk,66.77,123.37,62.51,47,92,9.31
kirakira,-10.45,161.92,84.49,64,100,4.54
san patricio,19.22,-104.7,78.76,83,91,7.23
amahai,-3.33,128.92,80.8,80,78,11.32
egvekinot,66.32,-179.17,44.11,70,91,11.56
dunedin,-45.87,170.5,56.03,51,50,14.97
ixtapa,20.7,-105.2,82.4,74,90,5.82
agadez,19.75,10.25,89.17,40,62,12.33
farah,32.5,62.5,66.13,29,0,3.49
hambantota,6.12,81.12,82.4,78,90,4.7
portland,45.52,-122.68,76.08,47,0,8.23
normal,40.51,-88.99,76.96,78,1,6.93
belfast,54.58,-5.93,52.39,76,0,8.05
fukue,32.69,128.84,84.2,83,40,10.29
yamada,39.47,141.95,83.88,78,90,4.85
cedar city,37.68,-113.06,78.8,16,1,6.93
buin,-33.73,-70.75,46.2,81,75,4.7
barwani,22.03,74.9,78.19,87,100,4.5
zaozerne,45.16,33.28,68.79,66,8,8.57
port-gentil,-0.72,8.78,75.02,85,100,13.42
north bend,43.41,-124.22,64.36,82,1,21.92
ostrovnoy,68.05,39.51,45.82,70,79,11.14
pringsewu,-5.36,104.97,88.84,53,9,3.0
opuwo,-18.06,13.84,48.83,55,60,2.26
narasimharajapura,13.62,75.52,74.23,78,100,4.16
urusha,54.05,122.9,63.88,45,100,5.01
henties bay,-22.12,14.28,46.0,82,10,9.98
heihe,50.24,127.49,66.2,63,40,11.18
xichang,27.9,102.26,74.14,68,100,3.74
grindavik,63.84,-22.43,48.2,93,75,8.05
zhangye,38.93,100.45,57.04,72,100,8.81
tarskoye,42.97,44.77,60.8,93,59,4.47
vendychany,48.61,27.79,55.98,69,2,6.42
salcedo,12.81,121.47,87.13,64,100,6.87
synya,65.37,58.04,46.9,81,21,7.9
cao bang,22.67,106.25,88.95,58,53,3.49
tarsus,36.92,34.88,75.25,94,0,2.24
stadtbergen,48.37,10.85,56.26,87,100,9.17
foso,5.7,-1.29,69.82,98,91,3.0
astoria,46.19,-123.83,63.09,77,1,17.22
lafia,8.48,8.52,71.26,97,100,2.62
diu,20.71,70.98,81.23,85,100,11.9
kapit,2.02,112.93,83.82,83,83,1.1
srednekolymsk,67.45,153.68,47.71,70,99,4.68
ugoofaaru,5.67,73.0,83.57,67,0,7.74
nouadhibou,20.93,-17.03,77.0,88,33,9.17
vestmannaeyjar,63.44,-20.27,52.25,86,100,16.02
fortuna,40.6,-124.16,56.66,93,1,10.29
baykit,61.67,96.37,59.43,69,97,3.53
west bay,19.37,-81.42,83.93,84,0,1.01
waingapu,-9.66,120.26,86.23,40,0,20.31
lazaro cardenas,17.96,-102.2,79.41,83,85,6.02
makungu,-8.73,35.28,54.77,90,96,1.97
kyren,51.68,102.14,56.28,75,100,1.61
rocha,-34.48,-54.33,55.92,96,89,4.34
lavrentiya,65.58,-171.0,49.69,78,83,2.04
koumac,-20.57,164.28,72.32,75,100,22.79
comodoro rivadavia,-45.87,-67.5,37.4,47,9,10.29
manicore,-5.81,-61.3,74.05,85,93,1.79
turbat,26.0,63.04,84.81,66,0,2.51
jiwani,25.05,61.74,81.03,84,2,8.63
alyangula,-13.85,136.42,84.2,51,71,17.22
lugoba,-6.45,38.33,70.95,84,100,1.61
poum,-20.23,164.02,71.73,82,80,25.81
aguilas,37.41,-1.58,73.26,40,0,10.0
lang son,21.83,106.73,89.33,54,86,2.01
mbanza-ngungu,-5.25,14.87,68.45,88,76,7.72
qeshm,26.96,56.27,87.8,74,75,4.7
evensk,61.95,159.23,54.54,65,77,15.84
port jervis,41.38,-74.69,69.06,94,40,4.23
kautokeino,69.01,23.04,38.98,77,56,5.93
hirado,33.36,129.55,91.04,66,20,5.82
bonavista,48.65,-53.11,55.0,83,88,11.01
aleksandrov gay,50.15,48.57,69.33,63,93,5.39
wynyard,-41.0,145.72,55.85,70,99,11.54
taclobo,12.31,122.59,84.74,76,100,14.76
gorontalo,0.54,123.06,87.51,53,63,9.6
yarkovo,57.4,67.08,64.04,87,78,3.2
almaznyy,48.04,40.05,53.6,93,0,6.71
shiringushi,53.85,42.77,55.44,96,55,6.44
howard springs,-12.5,131.05,88.32,25,88,16.11
salinas,36.68,-121.66,58.66,82,90,11.41
rovaniemi,66.5,25.72,44.6,87,54,5.82
yertsevo,60.8,40.09,54.48,99,100,3.31
port augusta,-32.5,137.77,74.3,23,0,23.04
suntar,62.14,117.63,61.41,50,100,5.97
urubicha,-15.38,-62.95,82.49,39,16,3.56
yenagoa,4.92,6.26,73.63,92,100,3.87
padang,-0.95,100.35,84.76,63,98,2.19
deyang,31.13,104.38,82.99,99,90,5.26
landerneau,48.45,-4.25,55.92,93,75,10.29
quila,24.42,-107.22,83.57,66,75,14.99
pangoa,-12.12,-73.0,70.34,71,0,3.04
lompoc,34.64,-120.46,58.64,82,1,9.17
braganca,-1.05,-46.77,75.0,94,79,2.84
tomatlan,19.93,-105.25,75.22,93,100,1.9
palaikastron,35.2,26.25,73.99,54,0,7.0
viedma,-40.81,-63.0,46.0,67,100,8.01
pemangkat,1.17,108.97,81.36,77,94,4.18
shahreza,32.03,51.88,62.6,28,0,0.49
ovsyanka,55.96,92.55,62.6,72,52,4.47
wuwei,37.93,102.64,55.63,74,100,15.66
shasta lake,40.68,-122.37,90.41,40,0,4.38
babstovo,48.12,132.48,61.7,69,100,17.94
kruisfontein,-34.0,24.73,47.25,93,70,5.35
poya,-21.35,165.15,71.38,72,95,13.49
dorado,18.46,-66.27,81.93,74,40,11.41
abu zabad,12.35,29.25,74.59,80,99,5.99
koungheul,13.98,-14.8,77.61,88,95,7.05
osorno,-40.57,-73.15,41.0,80,0,3.36
sabang,5.89,95.32,84.11,69,100,4.81
watsonville,36.91,-121.76,56.84,93,90,5.82
karratha,-20.74,116.85,95.0,15,0,11.03
qasigiannguit,68.82,-51.19,46.4,45,73,12.75
panguipulli,-39.63,-72.33,30.99,73,61,2.15
ormara,25.21,64.64,81.63,87,49,13.11
matagami,49.75,-77.63,55.4,82,90,4.32
high level,58.52,-117.14,57.2,93,75,3.29
nador,35.17,-2.93,78.96,54,0,13.87
aden,12.78,45.04,86.27,71,33,4.54
nenjiang,49.18,125.22,65.97,64,88,18.92
muroto,33.28,134.15,87.8,62,40,6.93
snezhnogorsk,69.19,33.25,42.8,93,60,4.47
chalmette,29.94,-89.96,80.8,78,40,3.36
charters towers,-20.1,146.27,77.02,35,0,17.98
baie-comeau,49.22,-68.15,53.6,62,1,5.82
puri,19.8,85.85,84.2,89,40,10.29
bereda,43.27,-7.54,55.0,100,79,1.99
gondanglegi,-7.75,112.01,88.72,52,0,14.52
surt,31.21,16.59,74.41,84,0,10.18
haines junction,60.75,-137.51,46.96,84,100,2.55
haicheng,40.85,122.75,77.09,75,8,6.69
kibre mengist,5.88,38.98,58.96,81,85,3.96
norrtalje,59.76,18.7,53.76,79,8,7.0
jibuti,11.5,42.5,93.2,41,20,6.93
shingu,33.73,135.98,87.8,74,40,4.7
selfoss,63.93,-21.0,48.0,91,91,5.99
north platte,41.12,-100.77,70.0,56,1,13.87
altos,-5.04,-42.46,80.6,51,94,4.7
taitung,22.76,121.14,89.6,66,40,5.82
edd,13.93,41.69,90.79,50,73,3.62
ridgecrest,35.62,-117.67,89.08,12,0,12.82
broome,42.25,-75.83,66.56,82,75,5.82
suffolk,40.87,-72.8,73.54,88,1,4.7
burns lake,54.23,-125.75,51.21,49,22,6.42
anapskaya,44.89,37.38,62.6,100,40,6.71
male,4.17,73.51,82.4,83,75,9.17
dalvik,65.97,-18.53,46.4,93,90,1.12
kailua,21.4,-157.74,81.97,65,20,11.41
tynda,55.17,124.72,59.5,53,100,4.99
klyuchi,52.27,79.17,65.77,54,6,1.88
kyra,49.58,111.98,54.77,86,100,2.62
rosario,-32.95,-60.64,65.86,77,75,6.93
camana,-16.62,-72.71,60.57,82,82,10.22
neiafu,-18.65,-173.98,80.6,61,40,13.87
deputatskiy,69.3,139.9,46.96,59,34,7.45
the valley,18.22,-63.06,83.39,79,40,11.41
kem,64.96,34.58,48.07,84,30,3.24
kachiry,53.07,76.1,68.68,47,1,7.81
ouadda,8.08,22.4,66.88,94,100,2.46
bay roberts,47.6,-53.26,54.0,100,0,3.0
otautau,-46.15,168.0,52.61,66,74,13.0
adrar,20.5,-10.07,90.72,38,16,25.64
kikwit,-5.04,18.82,74.21,73,33,2.17
sosnovo-ozerskoye,52.52,111.54,48.97,93,100,8.93
ratnagiri,16.98,73.3,80.76,81,100,4.79
hailey,43.52,-114.32,65.41,40,5,1.3
port lincoln,-34.73,135.87,68.05,43,0,23.33
jurm,36.86,70.83,66.33,39,0,0.74
maloy,61.94,5.11,54.99,87,2,2.24
touros,-5.2,-35.46,75.2,94,20,5.82
pichayevo,53.24,42.2,55.54,95,0,6.4
bundaberg,-24.85,152.35,74.79,43,11,18.34
moussoro,13.64,16.49,78.62,78,77,11.25
kirkkonummi,60.12,24.44,45.97,92,0,3.51
port blair,11.67,92.75,85.75,66,96,7.74
jalu,29.03,21.55,76.48,58,0,7.65
